CODICE;X_GB;Y_GB;X_WGS84;Y_WGS84;anno;ferro
PO012002NU0008;1485028;5065335;485002;5065315;2009;48
PO012002NU0008;1485028;5065335;485002;5065315;2009;50
PO012004NU0001;1489693;5078701;489667;5078681;2009;36
PO012004NUB018;1490865;5075475;490839;5075455;2009;5
PO012026NU0023;1486480;5052900;486453;5052880;2009;20
PO012026NU2021;1486690;5048428;486663;5048408;2009;5
PO012026NU2021;1486690;5048428;486663;5048408;2009;10
PO012036NU0002;1479230;5065180;479204;5065160;2009;7
PO012036NU0002;1479230;5065180;479204;5065160;2009;9
PO012050NU0004;1497100;5054880;497073;5054860;2009;5
PO012051NU0001;1474306;5082423;474280;5082403;2009;11
PO012067NU0012;1488440;5055840;488413;5055820;2009;7
PO012067NU0012;1488440;5055840;488413;5055820;2009;56
PO0120700R1085;1483318;5055375;483292;5055355;2009;15
PO0120700R1085;1483318;5055375;483292;5055355;2009;18
PO0120700UB022;1482370;5058120;482344;5058100;2009;11
PO0120700UB022;1482370;5058120;482344;5058100;2009;20
PO012072NU0005;1479800;5075410;479774;5075390;2009;5
PO012072NU0005;1479800;5075410;479774;5075390;2009;53
PO012090NU1009;1477930;5050230;477903;5050210;2009;16
PO012090NU1009;1477930;5050230;477903;5050210;2009;29
PO012090NU2009;1477650;5050147;477623;5050127;2009;7
PO012090NU2009;1477650;5050147;477623;5050127;2009;20
PO012106NU0015;1481720;5065244;481694;5065224;2009;34
PO012106NU0015;1481720;5065244;481694;5065224;2009;60
PO012109NUB005;1501822;5049680;501795;5049660;2009;19
PO0121180U0005;1481069;5052907;481042;5052887;2009;10
PO0121180U0005;1481069;5052907;481042;5052887;2009;16
PO012119NU0011;1502860;5052100;502833;5052080;2009;5
PO012119NU0011;1502860;5052100;502833;5052080;2009;36
PO012123NU2007;1472410;5058810;472384;5058790;2009;8
PO012123NU2007;1472410;5058810;472384;5058790;2009;17
PO012131NU0003;1486700;5082380;486674;5082360;2009;17
PO012132NU0003;1477420;5069260;477394;5069240;2009;16
PO0130280U0009;1503977;5061937;503950;5061917;2009;33
PO0130340U0002;1499695;5065959;499668;5065939;2009;89
PO0130340U0002;1499695;5065959;499668;5065939;2009;279
PO013064NU0002;1506455;5061527;506428;5061507;2009;33
PO0131000U0002;1500080;5061944;500053;5061924;2009;80
PO0131330U0009;1502044;5061531;502017;5061511;2009;24
PO0131330U0009;1502044;5061531;502017;5061511;2009;53
PO0131590U0001;1495984;5054535;495957;5054515;2009;34
PO0131590U0001;1495984;5054535;495957;5054515;2009;37
PO0131630U0002;1511093;5060182;511066;5060162;2009;104
PO0140260U0001;1536281;5109556;536255;5109535;2009;5
PO0140320U0001;1529150;5125002;529124;5124981;2009;24
PO0140570R0020;1530440;5122060;530414;5122039;2009;49
PO0140610U0001;1565898;5113030;565871;5113008;2009;114
PO0140610U0002;1566441;5113304;566414;5113282;2009;7
PO0140660U0001;1589850;5118181;589823;5118159;2009;5
PO0140710U0004;1600534;5148731;600507;5148708;2009;19
PO0140730U0001;1615583;5140779;615555;5140756;2009;122
PO0140780R0001;1586730;5115970;586703;5115948;2009;13
PO0150020U0013;1493149;5026784;493122;5026765;2009;41
PO015012NR0072;1499022;5036506;498995;5036486;2009;185
PO015019NR0037;1485906;5036172;485879;5036153;2009;NA
PO015059NR0135;1539722;5042355;539695;5042335;2009;12
PO0151400R0048;1524530;5022270;524503;5022250;2009;14
PO0151460U0200;1514404;5038169;514377;5038149;2009;24
PO0151460U0200;1514404;5038169;514377;5038149;2009;56
PO0151500U0002;1496644;5022301;496617;5022282;2009;40
PO015194NR0015;1493421;5046619;493394;5046599;2009;63.2
PO0152050U0007;1521047;5038736;521020;5038716;2009;13
PO0152240U0003;1535079;5036977;535052;5036957;2009;10
PO0161150R0118;1555493;5060225;555466;5060205;2009;18
PO0161260U0105;1548180;5052045;548153;5052025;2009;42
PO0161260U0105;1548180;5052045;548153;5052025;2009;49
PO0161290R0001;1550487;5045663;550460;5045643;2009;10
PO0161350U0001;1548578;5035713;548551;5035693;2009;42
PO0162090R1633;1539673;5055769;539646;5055749;2009;20
PO0162090R1633;1539673;5055769;539646;5055749;2009;20
PO0170140U0007;1609379;5040721;609351;5040701;2009;21
PO017073NPE013;1602171;5012002;602143;5011982;2009;25
PO017073NPE013;1602171;5012002;602143;5011982;2009;67
PO0171370U0639;1594740;5016437;594712;5016417;2009;39
PO0171430RC548;1587448;5075107;587421;5075086;2009;30
PO0171490UC593;1585705;5014723;585677;5014703;2009;26
PO0171490UC593;1585705;5014723;585677;5014703;2009;NA
PO0171520UC566;1595998;5013710;595970;5013690;2009;31
PO0171590UC568;1578883;5018959;578855;5018939;2009;24
PO0171590UC568;1578883;5018959;578855;5018939;2009;53
PO0171640UC596;1616634;5053546;616606;5053525;2009;63
PO0172000UC574;1572855;5023074;572827;5023054;2009;22
PO0172000UC574;1572855;5023074;572827;5023054;2009;43
PO018003NR0005;1477825;5014790;477798;5014771;2009;559
PO018003NR0005;1477825;5014790;477798;5014771;2009;610
PO0180130U0005;1523791;5000857;523764;5000838;2009;875
PO0180130U0005;1523791;5000857;523764;5000838;2009;1064
PO0180140U0001;1502467;5011823;502440;5011804;2009;59
PO0180140U0001;1502467;5011823;502440;5011804;2009;152
PO0180150U0003;1511399;5009868;511372;5009849;2009;349
PO0180150U0003;1511399;5009868;511372;5009849;2009;378
PO0180180U0001;1492965;5009370;492938;5009351;2009;84
PO0180180U0001;1492965;5009370;492938;5009351;2009;93
PO0180190U0001;1517196;5012726;517169;5012707;2009;117
PO0180190U0001;1517196;5012726;517169;5012707;2009;125
PO0180270U0001;1468405;5003193;468378;5003174;2009;54
PO018032NR0001;1508594;4988343;508567;4988324;2009;954
PO018032NR0001;1508594;4988343;508567;4988324;2009;2200
PO0180330U0002;1494044;4982987;494017;4982968;2009;3413
PO018035NU0001;1484807;5023812;484780;5023793;2009;124
PO0180450U0001;1482368;5004830;482341;5004811;2009;600
PO0180450U0001;1482368;5004830;482341;5004811;2009;633
PO0180460U0005;1510077;5011179;510050;5011160;2009;62
PO0180460U0005;1510077;5011179;510050;5011160;2009;91
PO0180470U0001;1501315;4989892;501288;4989873;2009;2780
PO0180470U0001;1501315;4989892;501288;4989873;2009;3000
PO0180480U0002;1539583;5000471;539556;5000452;2009;479
PO0180480U0002;1539583;5000471;539556;5000452;2009;1197
PO0180500U0002;1480201;5017506;480174;5017487;2009;555
PO0180500U0002;1480201;5017506;480174;5017487;2009;698
PO018056NRD003;1528626;5002398;528599;5002379;2009;193
PO018056NRD003;1528626;5002398;528599;5002379;2009;507
PO0180600U0001;1520726;5007038;520699;5007019;2009;333
PO0180600U0001;1520726;5007038;520699;5007019;2009;3383
PO0180610U0001;1495743;5000356;495716;5000337;2009;2891
PO0180610U0001;1495743;5000356;495716;5000337;2009;3268
PO018065NRG001;1476436;4987921;476409;4987902;2009;8844
PO018068NRP001;1492884;5011602;492857;5011583;2009;2657
PO018068NRP001;1492884;5011602;492857;5011583;2009;2862
PO0180690U0001;1494586;5003850;494559;5003831;2009;72
PO0180690U0001;1494586;5003850;494559;5003831;2009;78
PO0180720U0002;1511194;5014404;511167;5014385;2009;50
PO0180880U0003;1479557;4993844;479530;4993825;2009;1079
PO0180880U0003;1479557;4993844;479530;4993825;2009;1500
PO0180930U0006;1535401;5001695;535374;5001676;2009;85
PO0180930U0006;1535401;5001695;535374;5001676;2009;256
PO0181020U0007;1479147;5010498;479120;5010479;2009;58
PO0181020U0007;1479147;5010498;479120;5010479;2009;73
PO0181100U0014;1512384;5005209;512357;5005190;2009;121
PO0181100U0014;1512384;5005209;512357;5005190;2009;127
PO0181140U0002;1534773;4995264;534746;4995245;2009;230
PO0181140U0002;1534773;4995264;534746;4995245;2009;365
PO0181150U0001;1512525;4989820;512498;4989801;2009;1610
PO0181150U0001;1512525;4989820;512498;4989801;2009;2064
PO0181230U0005;1468153;5014720;468126;5014701;2009;55
PO0181230U0005;1468153;5014720;468126;5014701;2009;62
PO0181370U0002;1510895;5000705;510868;5000686;2009;51
PO0181370U0002;1510895;5000705;510868;5000686;2009;57
PO018139NU0003;1531102;5000692;531075;5000673;2009;4350
PO018139NU0003;1531102;5000692;531075;5000673;2009;4670
PO0181410U0001;1517810;5008384;517783;5008365;2009;320
